3005522099 = Verdict: Unsolved ; Iters: 6279932 ; Length: -1
3005584162 = Verdict: Solved ; Iters: 6616464 ; Length: 145
3005641824 = Verdict: Solved ; Iters: 1242117 ; Length: 118
3005790845 = Verdict: Unsolved ; Iters: 1984411 ; Length: -1
3005900077 = Verdict: Solved ; Iters: 938235 ; Length: 130
3005945200 = Verdict: Unsolved ; Iters: 6686304 ; Length: -1
3006037874 = Verdict: Unsolved ; Iters: 755187 ; Length: -1
3006084548 = Verdict: Unsolved ; Iters: 11739927 ; Length: -1
3006212236 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3006248914 = Verdict: Solved ; Iters: 1040075 ; Length: 115
3006313071 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3006357732 = Verdict: Unsolved ; Iters: 1277652 ; Length: -1
3006417006 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3006423579 = Verdict: Solved ; Iters: 236145 ; Length: 140
3006523528 = Verdict: Solved ; Iters: 80936 ; Length: 120
3006649406 = Verdict: Unsolved ; Iters: 1302681 ; Length: -1
3006714986 = Verdict: Unsolved ; Iters: 4274617 ; Length: -1
3006749558 = Verdict: Unsolved ; Iters: 10450430 ; Length: -1
3006785664 = Verdict: Solved ; Iters: 1397273 ; Length: 127
3006969571 = Verdict: Solved ; Iters: 600647 ; Length: 120
3006995025 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3007002710 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3007015651 = Verdict: Unsolved ; Iters: 410451 ; Length: -1
3007076737 = Verdict: Unsolved ; Iters: 6320007 ; Length: -1
3007078750 = Verdict: Unsolved ; Iters: 2273762 ; Length: -1
3007079597 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3007110413 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3007220442 = Verdict: Unsolved ; Iters: 975575 ; Length: -1
3007343259 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
3007396596 = Verdict: Unsolved ; Iters: 3282682 ; Length: -1
