4472132539 = Verdict: Solved ; Iters: 573551 ; Length: 120
4472171125 = Verdict: Unsolved ; Iters: 7096123 ; Length: -1
4472211953 = Verdict: Solved ; Iters: 396539 ; Length: 107
4472233832 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4472261443 = Verdict: Solved ; Iters: 3454778 ; Length: 135
4472607768 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4472629579 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4472655074 = Verdict: Solved ; Iters: 149005 ; Length: 124
4472707154 = Verdict: Unsolved ; Iters: 377654 ; Length: -1
4472774520 = Verdict: Unsolved ; Iters: 6728223 ; Length: -1
4472802309 = Verdict: Solved ; Iters: 81670 ; Length: 134
4472930946 = Verdict: Solved ; Iters: 274209 ; Length: 100
4472958366 = Verdict: Unsolved ; Iters: 96032 ; Length: -1
4472964891 = Verdict: Unsolved ; Iters: 6090910 ; Length: -1
4472985844 = Verdict: Solved ; Iters: 40755 ; Length: 109
4473028161 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4473131424 = Verdict: Solved ; Iters: 3138298 ; Length: 130
4473216592 = Verdict: Solved ; Iters: 143727 ; Length: 117
4473263788 = Verdict: Solved ; Iters: 2228371 ; Length: 156
4473357323 = Verdict: Solved ; Iters: 7985457 ; Length: 124
4473379992 = Verdict: Solved ; Iters: 671186 ; Length: 139
4473401298 = Verdict: Solved ; Iters: 7228556 ; Length: 120
4473482880 = Verdict: Unsolved ; Iters: 5664665 ; Length: -1
4473577023 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4473593362 = Verdict: Unsolved ; Iters: 337698 ; Length: -1
4473728940 = Verdict: Unsolved ; Iters: 5652282 ; Length: -1
4473732016 = Verdict: Unsolved ; Iters: 12158397 ; Length: -1
4473732396 = Verdict: Unsolved ; Iters: 5019220 ; Length: -1
4473751160 = Verdict: Unsolved ; Iters: 8223372 ; Length: -1
4473799842 = Verdict: Solved ; Iters: 5522741 ; Length: 133
4473816414 = Verdict: Unsolved ; Iters: 4250602 ; Length: -1
4473841026 = Verdict: Solved ; Iters: 744596 ; Length: 137
4473888233 = Verdict: Solved ; Iters: 298788 ; Length: 115
4474067731 = Verdict: Solved ; Iters: 1463422 ; Length: 132
4474127556 = Verdict: Solved ; Iters: 122899 ; Length: 97
4474141580 = Verdict: Unsolved ; Iters: 332801 ; Length: -1
4474189439 = Verdict: Solved ; Iters: 1443174 ; Length: 140
4474286742 = Verdict: Unsolved ; Iters: 2955678 ; Length: -1
4474331170 = Verdict: Solved ; Iters: 1494117 ; Length: 124
4474363838 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4474452092 = Verdict: Unsolved ; Iters: 5229377 ; Length: -1
4474454679 = Verdict: Unsolved ; Iters: 11954401 ; Length: -1
4474458623 = Verdict: Unsolved ; Iters: 3523285 ; Length: -1
4474522739 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4474697526 = Verdict: Unsolved ; Iters: 4619456 ; Length: -1
4474704899 = Verdict: Solved ; Iters: 2523389 ; Length: 138
4474771111 = Verdict: Solved ; Iters: 355029 ; Length: 124
4474855603 = Verdict: Unsolved ; Iters: 2656492 ; Length: -1
4474873519 = Verdict: Solved ; Iters: 838698 ; Length: 136
4474974576 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4474986262 = Verdict: Unsolved ; Iters: 2638543 ; Length: -1
4474997655 = Verdict: Solved ; Iters: 74144 ; Length: 115
4475000201 = Verdict: Solved ; Iters: 3851784 ; Length: 135
4475163300 = Verdict: Solved ; Iters: 1264758 ; Length: 118
4475284850 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4475295885 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4475317085 = Verdict: Solved ; Iters: 3332965 ; Length: 131
4475320967 = Verdict: Solved ; Iters: 1573 ; Length: 116
4475352396 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4475373765 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4475627734 = Verdict: Unsolved ; Iters: 3799487 ; Length: -1
4475743050 = Verdict: Unsolved ; Iters: 3667475 ; Length: -1
4475961309 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4475964740 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4476001810 = Verdict: Unsolved ; Iters: 4867592 ; Length: -1
4476052480 = Verdict: Solved ; Iters: 2058005 ; Length: 131
4476083568 = Verdict: Unsolved ; Iters: 2666132 ; Length: -1
4476083766 = Verdict: Solved ; Iters: 500157 ; Length: 135
4476110787 = Verdict: Unsolved ; Iters: 8609429 ; Length: -1
4476125116 = Verdict: Unsolved ; Iters: 4298553 ; Length: -1
4476143243 = Verdict: Intractable ; Iters: 13000000 ; Length: -1
4476151042 = Verdict: Unsolved ; Iters: 624431 ; Length: -1
