1006560759 = Verdict: Unsolved ; Iters: 13894984 ; Length: -1
1006600876 = Verdict: Unsolved ; Iters: 4189803 ; Length: -1
1006620807 = Verdict: Solved ; Iters: 456062 ; Length: -1
1006740078 = Verdict: Solved ; Iters: 899157 ; Length: -1
1006773362 = Verdict: Unsolved ; Iters: 4882500 ; Length: -1
1006934503 = Verdict: Unsolved ; Iters: 22426104 ; Length: -1
1006986023 = Verdict: Solved ; Iters: 427958 ; Length: -1
1007077394 = Verdict: Unsolved ; Iters: 4247779 ; Length: -1
1007127368 = Verdict: Intractable ; Iters: 40000000 ; Length: -1
1007176777 = Verdict: Unsolved ; Iters: 7150559 ; Length: -1
1007235981 = Verdict: Unsolved ; Iters: 606879 ; Length: -1
1007436144 = Verdict: Intractable ; Iters: 40000000 ; Length: -1
1007494483 = Verdict: Unsolved ; Iters: 522101 ; Length: -1
1007498626 = Verdict: Intractable ; Iters: 40000000 ; Length: -1
1007628768 = Verdict: Unsolved ; Iters: 33087656 ; Length: -1
1007628784 = Verdict: Intractable ; Iters: 40000000 ; Length: -1
1007638356 = Verdict: Unsolved ; Iters: 21451303 ; Length: -1
1007812837 = Verdict: Solved ; Iters: 9438915 ; Length: -1
1007871691 = Verdict: Unsolved ; Iters: 2970916 ; Length: -1
1007939139 = Verdict: Unsolved ; Iters: 2984314 ; Length: -1
1008012429 = Verdict: Unsolved ; Iters: 10049800 ; Length: -1
1008073484 = Verdict: Solved ; Iters: 2304658 ; Length: -1
1008124590 = Verdict: Unsolved ; Iters: 10768272 ; Length: -1
1008146325 = Verdict: Unsolved ; Iters: 5759237 ; Length: -1
1008243583 = Verdict: Unsolved ; Iters: 19337667 ; Length: -1
1008294109 = Verdict: Solved ; Iters: 44384 ; Length: -1
1008482913 = Verdict: Unsolved ; Iters: 6390894 ; Length: -1
1008485577 = Verdict: Unsolved ; Iters: 1686225 ; Length: -1
1008555760 = Verdict: Solved ; Iters: 13254 ; Length: -1
1008567611 = Verdict: Solved ; Iters: 12813469 ; Length: -1
1008653632 = Verdict: Unsolved ; Iters: 19135506 ; Length: -1
1008830895 = Verdict: Solved ; Iters: 48420 ; Length: -1
1008914509 = Verdict: Solved ; Iters: 4655723 ; Length: -1
1008991785 = Verdict: Unsolved ; Iters: 2383117 ; Length: -1
1009013819 = Verdict: Solved ; Iters: 190020 ; Length: -1
1009048220 = Verdict: Solved ; Iters: 114597 ; Length: -1
1009142799 = Verdict: Unsolved ; Iters: 26170049 ; Length: -1
1009147664 = Verdict: Unsolved ; Iters: 1185782 ; Length: -1
1009161500 = Verdict: Unsolved ; Iters: 5333995 ; Length: -1
1009164163 = Verdict: Unsolved ; Iters: 1097874 ; Length: -1
1009354888 = Verdict: Solved ; Iters: 13701288 ; Length: -1
1009356233 = Verdict: Solved ; Iters: 2072189 ; Length: -1
1009411746 = Verdict: Solved ; Iters: 932069 ; Length: -1
1009417615 = Verdict: Solved ; Iters: 4592218 ; Length: -1
1009427706 = Verdict: Solved ; Iters: 2225372 ; Length: -1
1009476665 = Verdict: Unsolved ; Iters: 4323083 ; Length: -1
1009538336 = Verdict: Intractable ; Iters: 40000000 ; Length: -1
1009545005 = Verdict: Intractable ; Iters: 40000000 ; Length: -1
1009548771 = Verdict: Unsolved ; Iters: 1324297 ; Length: -1
1009554382 = Verdict: Unsolved ; Iters: 4744048 ; Length: -1
1009588642 = Verdict: Unsolved ; Iters: 2115662 ; Length: -1
1009697660 = Verdict: Solved ; Iters: 2694907 ; Length: -1
1009843605 = Verdict: Solved ; Iters: 998302 ; Length: -1
1009924241 = Verdict: Solved ; Iters: 1217387 ; Length: -1
1009959582 = Verdict: Solved ; Iters: 279176 ; Length: -1
1010036043 = Verdict: Solved ; Iters: 373668 ; Length: -1
1010262003 = Verdict: Solved ; Iters: 2789879 ; Length: -1
1010267485 = Verdict: Unsolved ; Iters: 5582707 ; Length: -1
1010288042 = Verdict: Unsolved ; Iters: 10646390 ; Length: -1
1010346988 = Verdict: Unsolved ; Iters: 1937322 ; Length: -1
1010407227 = Verdict: Intractable ; Iters: 40000000 ; Length: -1
1010467979 = Verdict: Unsolved ; Iters: 6979525 ; Length: -1
1010659589 = Verdict: Solved ; Iters: 653140 ; Length: -1
1010734574 = Verdict: Unsolved ; Iters: 274996 ; Length: -1
1010774630 = Verdict: Solved ; Iters: 1864120 ; Length: -1
1010787283 = Verdict: Unsolved ; Iters: 13714966 ; Length: -1
1010834143 = Verdict: Intractable ; Iters: 40000000 ; Length: -1
1010880394 = Verdict: Intractable ; Iters: 40000000 ; Length: -1
1011044126 = Verdict: Solved ; Iters: 118683 ; Length: -1
1011161530 = Verdict: Intractable ; Iters: 40000000 ; Length: -1
1011277733 = Verdict: Solved ; Iters: 1153810 ; Length: -1
1011310107 = Verdict: Solved ; Iters: 5146544 ; Length: -1
1011374092 = Verdict: Solved ; Iters: 18168887 ; Length: -1
1011437486 = Verdict: Solved ; Iters: 44173 ; Length: -1
1011464366 = Verdict: Unsolved ; Iters: 2398739 ; Length: -1
1011581727 = Verdict: Unsolved ; Iters: 4410008 ; Length: -1
1011776280 = Verdict: Solved ; Iters: 289326 ; Length: -1
1011875976 = Verdict: Intractable ; Iters: 40000000 ; Length: -1
1011964289 = Verdict: Unsolved ; Iters: 4082086 ; Length: -1
1012001441 = Verdict: Unsolved ; Iters: 6719474 ; Length: -1
1012011830 = Verdict: Solved ; Iters: 1444790 ; Length: -1
1012079675 = Verdict: Intractable ; Iters: 40000000 ; Length: -1
1012086765 = Verdict: Solved ; Iters: 530688 ; Length: -1
1012096114 = Verdict: Unsolved ; Iters: 12835219 ; Length: -1
1012106360 = Verdict: Unsolved ; Iters: 5039468 ; Length: -1
1012176716 = Verdict: Solved ; Iters: 1139434 ; Length: -1
1012386188 = Verdict: Solved ; Iters: 69487 ; Length: -1
1012396825 = Verdict: Unsolved ; Iters: 19713626 ; Length: -1
1012423283 = Verdict: Unsolved ; Iters: 2479033 ; Length: -1
1012478231 = Verdict: Unsolved ; Iters: 604249 ; Length: -1
1012512528 = Verdict: Solved ; Iters: 3919588 ; Length: -1
1012538514 = Verdict: Unsolved ; Iters: 5595028 ; Length: -1
1012576836 = Verdict: Solved ; Iters: 28551 ; Length: -1
1012605607 = Verdict: Solved ; Iters: 37718 ; Length: -1
1012637131 = Verdict: Solved ; Iters: 763167 ; Length: -1
1012654853 = Verdict: Unsolved ; Iters: 305298 ; Length: -1
1012663161 = Verdict: Unsolved ; Iters: 2170745 ; Length: -1
1012916576 = Verdict: Solved ; Iters: 18079 ; Length: -1
1013031017 = Verdict: Unsolved ; Iters: 8904329 ; Length: -1
1013097314 = Verdict: Unsolved ; Iters: 5949180 ; Length: -1
1013255911 = Verdict: Solved ; Iters: 104376 ; Length: -1
1013263066 = Verdict: Solved ; Iters: 124167 ; Length: -1
1013280748 = Verdict: Intractable ; Iters: 40000000 ; Length: -1
1013339489 = Verdict: Unsolved ; Iters: 584951 ; Length: -1
