14991695 = Verdict: Unsolved ; Iters: 3583551 ; Length: -1
14999596 = Verdict: Solved ; Iters: 4611434 ; Length: 134
15071878 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
15159325 = Verdict: Solved ; Iters: 1662848 ; Length: 216
15163577 = Verdict: Solved ; Iters: 82887 ; Length: 103
15185030 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
15203799 = Verdict: Solved ; Iters: 7747862 ; Length: 125
15219428 = Verdict: Unsolved ; Iters: 11546363 ; Length: -1
15290200 = Verdict: Solved ; Iters: 221724 ; Length: 125
15311498 = Verdict: Unsolved ; Iters: 8090719 ; Length: -1
15349745 = Verdict: Unsolved ; Iters: 5795043 ; Length: -1
15365509 = Verdict: Unsolved ; Iters: 470816 ; Length: -1
15442819 = Verdict: Unsolved ; Iters: 6893518 ; Length: -1
15452863 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
15459142 = Verdict: Solved ; Iters: 126660 ; Length: 133
15495658 = Verdict: Unsolved ; Iters: 6420427 ; Length: -1
15541296 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
15566954 = Verdict: Solved ; Iters: 5712815 ; Length: 130
15657151 = Verdict: Unsolved ; Iters: 16853024 ; Length: -1
15678845 = Verdict: Solved ; Iters: 780903 ; Length: 132
15696618 = Verdict: Unsolved ; Iters: 63239 ; Length: -1
15745366 = Verdict: Solved ; Iters: 47067 ; Length: 135
15767880 = Verdict: Unsolved ; Iters: 9500355 ; Length: -1
15812237 = Verdict: Unsolved ; Iters: 301028 ; Length: -1
15827827 = Verdict: Solved ; Iters: 2946108 ; Length: 136
15829720 = Verdict: Unsolved ; Iters: 115656 ; Length: -1
15849212 = Verdict: Solved ; Iters: 69172 ; Length: 141
15896912 = Verdict: Solved ; Iters: 6060007 ; Length: 136
15915543 = Verdict: Solved ; Iters: 3481015 ; Length: 111
15919578 = Verdict: Solved ; Iters: 284744 ; Length: 131
15956856 = Verdict: Unsolved ; Iters: 7557561 ; Length: -1
16028187 = Verdict: Unsolved ; Iters: 5755 ; Length: -1
16045750 = Verdict: Unsolved ; Iters: 58637 ; Length: -1
16051633 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
16091671 = Verdict: Solved ; Iters: 1147939 ; Length: 132
16235868 = Verdict: Solved ; Iters: 501595 ; Length: 128
16269077 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
16284223 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
16312914 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
16366113 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
16377629 = Verdict: Solved ; Iters: 112861 ; Length: 141
16504686 = Verdict: Unsolved ; Iters: 7907069 ; Length: -1
16673167 = Verdict: Unsolved ; Iters: 5131626 ; Length: -1
16681783 = Verdict: Unsolved ; Iters: 6216559 ; Length: -1
16764545 = Verdict: Unsolved ; Iters: 5291770 ; Length: -1
16771986 = Verdict: Unsolved ; Iters: 8891749 ; Length: -1
16800932 = Verdict: Unsolved ; Iters: 12236556 ; Length: -1
16808887 = Verdict: Solved ; Iters: 13569428 ; Length: 165
16823513 = Verdict: Unsolved ; Iters: 15157472 ; Length: -1
16870109 = Verdict: Solved ; Iters: 16571 ; Length: 121
17038782 = Verdict: Solved ; Iters: 9513567 ; Length: 112
17118880 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
17128894 = Verdict: Solved ; Iters: 5164843 ; Length: 202
17169787 = Verdict: Unsolved ; Iters: 3789544 ; Length: -1
17257444 = Verdict: Solved ; Iters: 221050 ; Length: 124
17334503 = Verdict: Unsolved ; Iters: 18864717 ; Length: -1
17338301 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
17487762 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
17589023 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
17589753 = Verdict: Unsolved ; Iters: 5808153 ; Length: -1
17670775 = Verdict: Solved ; Iters: 52890 ; Length: 129
17673289 = Verdict: Solved ; Iters: 522288 ; Length: 110
17698418 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
17875911 = Verdict: Solved ; Iters: 351034 ; Length: 123
17883283 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
17900905 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
17931343 = Verdict: Solved ; Iters: 116146 ; Length: 112
17961408 = Verdict: Unsolved ; Iters: 14171948 ; Length: -1
17998305 = Verdict: Solved ; Iters: 6165260 ; Length: 114
18074842 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
18105041 = Verdict: Unsolved ; Iters: 1255525 ; Length: -1
18129410 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
18222522 = Verdict: Solved ; Iters: 1130475 ; Length: 128
18300635 = Verdict: Unsolved ; Iters: 344990 ; Length: -1
18316748 = Verdict: Solved ; Iters: 5061362 ; Length: 116
18359672 = Verdict: Unsolved ; Iters: 4079413 ; Length: -1
18459871 = Verdict: Unsolved ; Iters: 3264793 ; Length: -1
18461421 = Verdict: Solved ; Iters: 52524 ; Length: 110
18487271 = Verdict: Solved ; Iters: 373745 ; Length: 123
18582059 = Verdict: Solved ; Iters: 3791267 ; Length: 151
18600095 = Verdict: Solved ; Iters: 3194720 ; Length: 124
18626286 = Verdict: Unsolved ; Iters: 639408 ; Length: -1
18627364 = Verdict: Solved ; Iters: 225682 ; Length: 117
18656726 = Verdict: Unsolved ; Iters: 8962034 ; Length: -1
18682585 = Verdict: Solved ; Iters: 3672715 ; Length: 137
18927871 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
19013710 = Verdict: Unsolved ; Iters: 210481 ; Length: -1
19063128 = Verdict: Unsolved ; Iters: 8558630 ; Length: -1
19133567 = Verdict: Solved ; Iters: 103941 ; Length: 123
19180824 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
19208443 = Verdict: Solved ; Iters: 3577457 ; Length: 122
19379157 = Verdict: Solved ; Iters: 1734872 ; Length: 140
19630327 = Verdict: Solved ; Iters: 67747 ; Length: 119
19676693 = Verdict: Solved ; Iters: 14944 ; Length: 107
19682056 = Verdict: Solved ; Iters: 2209736 ; Length: 112
19849723 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
19993902 = Verdict: Unsolved ; Iters: 19810678 ; Length: -1
20014109 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
20065042 = Verdict: Solved ; Iters: 1739069 ; Length: 136
20093728 = Verdict: Unsolved ; Iters: 396631 ; Length: -1
20109456 = Verdict: Solved ; Iters: 336037 ; Length: 154
20125048 = Verdict: Unsolved ; Iters: 7203768 ; Length: -1
20195291 = Verdict: Solved ; Iters: 184559 ; Length: 133
20298001 = Verdict: Solved ; Iters: 38536 ; Length: 109
20361212 = Verdict: Solved ; Iters: 237767 ; Length: 143
20375982 = Verdict: Unsolved ; Iters: 600113 ; Length: -1
20380667 = Verdict: Unsolved ; Iters: 12402657 ; Length: -1
